POI,이름,총 리뷰수,평균평점,주소,경도,위도,링크,거리
POI0,의귀리부부막국수,168,4.39,제주특별자치도 서귀포시 남원읍 의귀리 841,126.7176663,33.31125473,http://place.map.kakao.com/27600309,1.9345128
POI0,흑염소마루,202,4.38,제주특별자치도 서귀포시 남원읍 남원리 116-14,126.7172864,33.2789097,http://place.map.kakao.com/19451963,1.441338034
POI0,은빌레식당,237,4.38,제주특별자치도 서귀포시 남원읍 의귀리 794,126.716655,33.31152923,http://place.map.kakao.com/1940498870,1.915717249
POI0,범일분식,347,4.20,제주특별자치도 서귀포시 남원읍 남원리 139-7,126.7169239,33.27845175,http://place.map.kakao.com/17682261,1.458275615
POI1,스시애월,420,4.57,제주특별자치도 제주시 애월읍 장전리 1179-1,126.3842707,33.4521963,http://place.map.kakao.com/993438455,2.013877694
POI1,제주광해,968,4.48,제주특별자치도 제주시 애월읍 하귀2리 2740-8,126.3904213,33.48774929,http://place.map.kakao.com/41973236,1.639839469
POI1,카페동경앤책방,133,4.46,제주특별자치도 제주시 애월읍 하귀2리 1382,126.4048448,33.48133157,http://place.map.kakao.com/315193014,2.689789496
POI1,큐티파이 카페,374,4.27,제주특별자치도 제주시 애월읍 신엄리 963,126.3686181,33.47788226,http://place.map.kakao.com/419491158,1.487052196
POI1,달자카페,450,4.24,제주특별자치도 제주시 애월읍 구엄리 545,126.379652,33.4836351,http://place.map.kakao.com/26303350,0.948693042
POI1,당당 제주,248,4.24,제주특별자치도 제주시 애월읍 신엄리 1212-1,126.3708807,33.47445241,http://place.map.kakao.com/634174711,1.185133022
POI1,바다속고등어쌈밥,714,4.17,제주특별자치도 제주시 애월읍 하귀1리 1548,126.4068108,33.48428558,http://place.map.kakao.com/20733624,2.98027636
POI1,닻 제주,463,4.06,제주특별자치도 제주시 애월읍 하귀2리 2726,126.3920794,33.48605343,http://place.map.kakao.com/18468300,1.643677102
POI2,윌라라,410,4.64,제주특별자치도 서귀포시 성산읍 성산리 178-19,126.932919,33.46285473,http://place.map.kakao.com/25552898,1.371346597
POI2,남양수산,170,4.62,제주특별자치도 서귀포시 성산읍 고성리 1191-6,126.9141282,33.45012502,http://place.map.kakao.com/16525091,2.736025745
POI2,보룡제과,122,4.49,제주특별자치도 서귀포시 성산읍 고성리 2747-28,126.9152166,33.44800699,http://place.map.kakao.com/10375136,2.851386586
POI2,새벽숯불가든,373,4.39,제주특별자치도 서귀포시 성산읍 오조리 458,126.9067011,33.46762532,http://place.map.kakao.com/9994505,2.331505191
POI2,맛나식당,1020,4.37,제주특별자치도 서귀포시 성산읍 고성리 316-3,126.9160786,33.44860083,http://place.map.kakao.com/8970084,2.760152334
POI2,성산흑돼지두루치기,333,4.27,제주특별자치도 서귀포시 성산읍 성산리 299-5,126.9347968,33.46618538,http://place.map.kakao.com/25543698,1.259141614
POI2,장승포식당,365,4.27,제주특별자치도 서귀포시 성산읍 고성리 298-11,126.9168771,33.44918111,http://place.map.kakao.com/14497151,2.6743753
POI2,시흥해녀의집,532,4.25,제주특별자치도 서귀포시 성산읍 시흥리 12-64,126.9083038,33.47798058,http://place.map.kakao.com/9191583,2.046819219
POI2,뽀요요,107,4.20,제주특별자치도 제주시 우도면 연평리 2652,126.9467161,33.49426441,http://place.map.kakao.com/13283796,2.83119943
POI2,그리운바다성산포 제주,577,4.08,제주특별자치도 서귀포시 성산읍 성산리 360-10,126.9300434,33.46985504,http://place.map.kakao.com/18277817,0.652478546
POI2,봉끄랑,192,4.06,제주특별자치도 제주시 우도면 연평리 2649-1,126.9452441,33.4942205,http://place.map.kakao.com/27273604,2.701123683
POI2,도렐,763,4.05,제주특별자치도 서귀포시 성산읍 고성리 297-1,126.9185488,33.44997473,http://place.map.kakao.com/1375299538,2.535769234
POI2,바다의집,326,4.02,제주특별자치도 서귀포시 성산읍 오조리 797-1,126.9100395,33.46211354,http://place.map.kakao.com/1856826032,2.223536615
POI2,샤오츠,192,4.02,제주특별자치도 서귀포시 성산읍 성산리 392,126.9294465,33.46030485,http://place.map.kakao.com/1537256543,1.449164714
POI2,산도롱맨도롱,821,4.01,제주특별자치도 제주시 구좌읍 종달리 484-1,126.9103846,33.49681124,http://place.map.kakao.com/27259551,2.671775692
POI3,무상찻집,121,4.70,제주특별자치도 제주시 용담일동 2826,126.5143944,33.50100143,http://place.map.kakao.com/1575289135,1.979233334
POI3,아살람레스토랑,270,4.70,제주특별자치도 제주시 삼도이동 1-2,126.5241605,33.51654578,http://place.map.kakao.com/312026789,1.173178809
POI3,라스또르따스,270,4.61,제주특별자치도 제주시 이도이동 1179-16,126.5311106,33.49918059,http://place.map.kakao.com/367189126,0.75652852
POI3,충민정,618,4.58,제주특별자치도 제주시 용담일동 2818-2,126.5131419,33.5025193,http://place.map.kakao.com/1728065244,2.077941737
POI3,빵귿,111,4.57,제주특별자치도 제주시 이도2동 2026-18,126.5351505,33.4870856,http://place.map.kakao.com/1383801809,1.923384002
POI3,고집돌우럭 제주공항점,1020,4.53,제주특별자치도 제주시 건입동 1319-124,126.5280585,33.51625415,http://place.map.kakao.com/232056222,0.906420253
POI3,마초그릴,264,4.52,제주특별자치도 제주시 일도1동 1280-3,126.5249235,33.51480143,http://place.map.kakao.com/26983851,0.998489837
POI3,윤옥,186,4.49,제주특별자치도 제주시 이도이동 2003-3,126.5357784,33.48919048,http://place.map.kakao.com/1010408190,1.751505154
POI3,삼바리회센타,183,4.49,제주특별자치도 제주시 도남동 921-44,126.5272283,33.49711381,http://place.map.kakao.com/14809071,1.05463666
POI3,용담밭담,257,4.47,제주특별자치도 제주시 용담2동 2631-1,126.5101469,33.50116954,http://place.map.kakao.com/727076726,2.430601392
POI3,더스푼,277,4.45,제주특별자치도 제주시 아라이동 3014-5,126.5411514,33.49337946,http://place.map.kakao.com/1802546975,1.688582948
POI3,국수장터,198,4.43,제주특별자치도 제주시 이도2동 1168-5,126.5342014,33.50276977,http://place.map.kakao.com/8829715,0.525836566
POI3,컬쳐드,127,4.43,제주특별자치도 제주시 아라이동 3003-10,126.5436174,33.49180537,http://place.map.kakao.com/1148019176,1.980047282
POI3,스시우다,383,4.43,제주특별자치도 제주시 용담삼동 521-2,126.5064189,33.51570208,http://place.map.kakao.com/27324231,2.883370033
POI3,문게야,148,4.42,제주특별자치도 제주시 일도2동 142-27,126.543551,33.51184933,http://place.map.kakao.com/26591055,1.415259687
POI3,타이웍,256,4.42,제주특별자치도 제주시 아라이동 3009-1,126.5439572,33.49144778,http://place.map.kakao.com/1513205554,2.03009937
POI3,진영식당,262,4.42,제주특별자치도 제주시 용담이동 630-5,126.506055,33.50975807,http://place.map.kakao.com/13236090,2.826431018
POI3,오현불백,557,4.41,제주특별자치도 제주시 일도2동 1028-32,126.5295851,33.51102533,http://place.map.kakao.com/22173396,0.397015949
POI3,유메,108,4.40,제주특별자치도 제주시 삼도이동 1098-5,126.5206291,33.51477407,http://place.map.kakao.com/506397920,1.381499174
POI3,용담생국수,105,4.39,제주특별자치도 제주시 용담2동 359-15,126.5129664,33.51193482,http://place.map.kakao.com/14575515,2.092907114
POI3,코코분식,371,4.37,제주특별자치도 제주시 이도이동 1187-5,126.5299946,33.49679255,http://place.map.kakao.com/8101542,0.989604038
